Patterns,Category,Can we detect this using only code change (partial analysis is sufficient),Feasibility using Regex,# Note,inter-class,import,signature,field,body,signature,local variable,field,body,statement,type,annotation,java version,data flow/control flow/call graph/inheritance graph/no,name(class/method/field/variable),expression text(operator/keyword),constant,
Dm: Method invokes dangerous method runFinalizersOnExit (DM_RUN_FINALIZERS_ON_EXIT),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,,,,,Y,,,
NP: equals() method does not check for null argument (NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
FI: Empty finalizer should be deleted (FI_EMPTY),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
FI: Finalizer nullifies superclass finalizer (FI_NULLIFY_SUPER),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
FI: Finalizer does nothing but call superclass finalizer (FI_USELESS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,call graph,,,,
FI: Finalizer does not call superclass finalizer (FI_MISSING_SUPER_CALL),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,call graph,,,,
FI: Explicit invocation of finalizer (FI_EXPLICIT_INVOCATION),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,,,,,Y,,,
Eq: Equals checks for incompatible operand (EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,,Y,,,Y,,,,,inheritance graph,,,,
Eq: equals method fails for subtypes (EQ_GETCLASS_AND_CLASS_CONSTANT),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,,Y,,,,,,,,,,,,,
Eq: Covariant equals() method defined (EQ_SELF_NO_OBJECT),Bad practice (BAD_PRACTICE),Yes,No for multi-line,,,,,,,Y,,,,,,,,,Y,,,
Co: Covariant compareTo() method defined (CO_SELF_NO_OBJECT),Bad practice (BAD_PRACTICE),Yes,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,Y,,,
Co: compareTo()/compare() returns Integer.MIN_VALUE (CO_COMPARETO_RESULTS_MIN_VALUE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
Co: compareTo()/compare() incorrectly handles float or double value (CO_COMPARETO_INCORRECT_FLOATING),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,,,,,
RV: Negating the result of compareTo()/compare() (RV_NEGATING_RESULT_OF_COMPARETO),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,,,,,,,,
ES: Comparison of String objects using == or != (ES_COMPARING_STRINGS_WITH_EQ),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
ES: Comparison of String parameter using == or != (ES_COMPARING_PARAMETER_STRING_WITH_EQ),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,,,,,
Eq: Class defines compareTo(…) and uses Object.equals() (EQ_COMPARETO_USE_OBJECT_EQUALS),Bad practice (BAD_PRACTICE),No,No for multi-line,,Y,,,,,,,,,,,,,inheritance graph,,,,
HE: Class defines hashCode() and uses Object.equals() (HE_HASHCODE_USE_OBJECT_EQUALS),Bad practice (BAD_PRACTICE),No,No for multi-line,,Y,,,,,,,,,,,,,inheritance graph,,,,
HE: Class defines hashCode() but not equals() (HE_HASHCODE_NO_EQUALS),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,Y,,,,,,,,,,,,,
HE: Class defines equals() and uses Object.hashCode() (HE_EQUALS_USE_HASHCODE),Bad practice (BAD_PRACTICE),No,No for multi-line,,Y,,,,,,,,,,,,,inheritance graph,,,,
HE: Class inherits equals() and uses Object.hashCode() (HE_INHERITS_EQUALS_USE_HASHCODE),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
HE: Class defines equals() but not hashCode() (HE_EQUALS_NO_HASHCODE),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,Y,,,,,,,,,,,,,
Eq: Abstract class defines covariant equals() method (EQ_ABSTRACT_SELF),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,,Y,,,,,,,,,,,,,
Co: Abstract class defines covariant compareTo() method (CO_ABSTRACT_SELF),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,,Y,,,,,,,,,,,,,
IC: Superclass uses subclass during initialization (IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
SI: Static initializer creates instance before all static final fields assigned (SI_INSTANCE_BEFORE_FINALS_ASSIGNED),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
It: Iterator next() method can’t throw NoSuchElementException (IT_NO_SUCH_ELEMENT),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,inheritance graph,,,,
ME: Enum field is public and mutable (ME_MUTABLE_ENUM_FIELD),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,Y,,,,,,,,,,,,Y,,
ME: Public enum method unconditionally sets its field (ME_ENUM_FIELD_SETTER),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,Y,Y,,,,,,,,,,,,,
Nm: Method names should start with a lower case letter (NM_METHOD_NAMING_CONVENTION),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,Y,,,,,,,,,Y,,,
Nm: Field names should start with a lower case letter (NM_FIELD_NAMING_CONVENTION),Bad practice (BAD_PRACTICE),No,Yes and implemented,,,,,Y,,,,,,,,,,,,,,
Nm: Class names shouldn’t shadow simple name of implemented interface (NM_SAME_SIMPLE_NAME_AS_INTERFACE),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,Y,,,,,,,,,,,inheritance graph,Y,Y,,
Nm: Class names shouldn’t shadow simple name of superclass (NM_SAME_SIMPLE_NAME_AS_SUPERCLASS),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,Y,,,,,,,,,,,inheritance graph,Y,Y,,
Nm: Class names should start with an upper case letter (NM_CLASS_NAMING_CONVENTION),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,Y,,,,,,,,,,,,Y,Y,,
Nm: Very confusing method names (but perhaps intentional) (NM_VERY_CONFUSING_INTENTIONAL),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
Nm: Method doesn’t override method in superclass due to wrong package for parameter (NM_WRONG_PACKAGE_INTENTIONAL),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
Nm: Confusing method names (NM_CONFUSING),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
"Nm: Class is not derived from an Exception, even though it is named as such (NM_CLASS_NOT_EXCEPTION)",Bad practice (BAD_PRACTICE),No,Yes but no time,,,,Y,,,,,,,,,,,inheritance graph,,,,
RR: Method ignores results of InputStream.read() (RR_NOT_CHECKED),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
RR: Method ignores results of InputStream.skip() (SR_NOT_CHECKED),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
Se: Class is Serializable but its superclass doesn’t define a void constructor (SE_NO_SUITABLE_CONSTRUCTOR),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
Se: Class is Externalizable but doesn’t define a void constructor (SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,Y,,,,,,,,,inheritance graph,,,,
Se: Comparator doesn’t implement Serializable (SE_COMPARATOR_SHOULD_BE_SERIALIZABLE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,Y,,,,,,,,,,,inheritance graph,,,,
"SnVI: Class is Serializable, but doesn’t define serialVersionUID (SE_NO_SERIALVERSIONID)",Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,,,,,,,,,,inheritance graph,,,,
Se: The readResolve method must be declared with a return type of Object. (SE_READ_RESOLVE_MUST_RETURN_OBJECT),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,Y,,,,,,,,inheritance graph,Y,Y,,
Se: Transient field that isn’t set by deserialization. (SE_TRANSIENT_FIELD_NOT_RESTORED),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,Y,,,,,,Y,,,inheritance graph,,,,
Se: serialVersionUID isn’t final (SE_NONFINAL_SERIALVERSIONID),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,Y,,,,,,,Y,,,inheritance graph,Y,Y,,
Se: serialVersionUID isn’t static (SE_NONSTATIC_SERIALVERSIONID),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,Y,,,,,,,Y,,,inheritance graph,Y,Y,,
Se: serialVersionUID isn’t long (SE_NONLONG_SERIALVERSIONID),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,Y,,,,,,,Y,,,inheritance graph,Y,Y,,
Se: Non-transient non-serializable instance field in serializable class (SE_BAD_FIELD),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,Y,,,,,,,,,,inheritance graph,,,,
Se: Serializable inner class (SE_INNER_CLASS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,,,,,,,,,,inheritance graph,,,,
Se: Non-serializable class has a serializable inner class (SE_BAD_FIELD_INNER_CLASS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,,,,,,,,,,inheritance graph,,,,
Se: Non-serializable value stored into instance field of a serializable class (SE_BAD_FIELD_STORE),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,Y,Y,,,,,,Y,,,inheritance graph,,,,
RV: Method ignores exceptional return value (RV_RETURN_VALUE_IGNORED_BAD_PRACTICE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,,Y,,,,,,,,
NP: toString method may return null (NP_TOSTRING_COULD_RETURN_NULL),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,data flow,,,,
NP: Clone method may return null (NP_CLONE_COULD_RETURN_NULL),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,data flow,,,,
OS: Method may fail to close stream (OS_OPEN_STREAM),Bad practice (BAD_PRACTICE),No,No for multi-line,only check for never closures,,,,,,,Y,,Y,,Y,,,,,,,
OS: Method may fail to close stream on exception (OS_OPEN_STREAM_EXCEPTION_PATH),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,Y,,Y,,Y,,,control flow,,,,
RC: Suspicious reference comparison to constant (RC_REF_COMPARISON_BAD_PRACTICE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
RC: Suspicious reference comparison of Boolean values (RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
FS: Format string should use %n rather than n (VA_FORMAT_STRING_USES_NEWLINE),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,,,,,Y,,Y,
BIT: Check for sign of bitwise operation (BIT_SIGNED_CHECK),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
ODR: Method may fail to close database resource (ODR_OPEN_DATABASE_RESOURCE),Bad practice (BAD_PRACTICE),No,No for multi-line,only check for never closures,,,,,,,Y,,Y,,Y,,,,,,,
ODR: Method may fail to close database resource on exception (ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,Y,,Y,,Y,,,control flow,,,,
ISC: Needless instantiation of class that only supplies static methods (ISC_INSTANTIATE_STATIC_CLASS),Bad practice (BAD_PRACTICE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
DMI: Random object created and used only once (DMI_RANDOM_USED_ONLY_ONCE),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,only check case of unassigned to to variable,,,,,,,Y,,Y,,Y,,,,Y,Y,,
BC: Equals method should not assume anything about the type of its argument (BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
J2EE: Store of non serializable object into HttpSession (J2EE_STORE_OF_NON_SERIALIZABLE_OBJECT_INTO_SESSION),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
GC: Unchecked type in generic call (GC_UNCHECKED_TYPE_IN_GENERIC_CALL),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
PZ: Don’t reuse entry objects in iterators (PZ_DONT_REUSE_ENTRY_OBJECTS_IN_ITERATORS),Bad practice (BAD_PRACTICE),No,Yes but no time,,,,Y,,,,,,,,,,,inheritance graph,,,,
DMI: Adding elements of an entry set may fail due to reuse of Entry objects (DMI_ENTRY_SETS_MAY_REUSE_ENTRY_OBJECTS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
DMI: Don’t use removeAll to clear a collection (DMI_USING_REMOVEALL_TO_CLEAR_COLLECTION),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,,,
"CN: Super method is annotated with @OverridingMethodsMustInvokeSuper, but the overriding method isn’t calling the super method. (OVERRIDING_METHODS_MUST_INVOKE_SUPER)",Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,call graph,,,,
NP: Method with Optional return type returns explicit null (NP_OPTIONAL_RETURN_NULL),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
NP: Non-null field is not initialized (NP_NONNULL_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR),Correctness (CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,Y,,,,,,
VR: Class makes reference to unresolvable class or method (VR_UNRESOLVABLE_REFERENCE),Correctness (CORRECTNESS),No,No for regex limitation,,,Y,,,Y,,,,,,,,,,,,,
IL: An apparent infinite loop (IL_INFINITE_LOOP),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,control flow,,,,
IO: Doomed attempt to append to an object output stream (IO_APPENDING_TO_OBJECT_OUTPUT_STREAM),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
IL: An apparent infinite recursive loop (IL_INFINITE_RECURSIVE_LOOP),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,Y,,,Y,,,,,call graph,,,,
IL: A collection is added to itself (IL_CONTAINER_ADDED_TO_ITSELF),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,,,
RpC: Repeated conditional tests (RpC_REPEATED_CONDITIONAL_TEST),Correctness (CORRECTNESS),Yes,Yes but no time,only detect simple conditional test,,,,,,,,,,Y,,,,,,Y,,
FL: Method performs math using floating point precision (FL_MATH_USING_FLOAT_PRECISION),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,Y,,,Y,,Y,,,,,Y,Y,
CAA: Possibly incompatible element is stored in covariant array (CAA_COVARIANT_ARRAY_ELEMENT_STORE),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
Dm: Useless/vacuous call to EasyMock method (DMI_VACUOUS_CALL_TO_EASYMOCK_METHOD),Correctness (CORRECTNESS),Yes,Yes but no time,,,,,,,,,,,Y,,,,,Y,,,
Dm: Futile attempt to change max pool size of ScheduledThreadPoolExecutor (DMI_FUTILE_ATTEMPT_TO_CHANGE_MAXPOOL_SIZE_OF_SCHEDULED_THREAD_POOL_EXECUTOR),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,Y,,,
DMI: BigDecimal constructed from double that isn’t represented precisely (DMI_BIGDECIMAL_CONSTRUCTED_FROM_DOUBLE),Correctness (CORRECTNESS),Yes,Yes but no time,only check constant parameter,,,,,,,,,,Y,Y,,,,Y,,Y,
Dm: Creation of ScheduledThreadPoolExecutor with zero core threads (DMI_SCHEDULED_THREAD_POOL_EXECUTOR_WITH_ZERO_CORE_THREADS),Correctness (CORRECTNESS),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Disabled by spotbugs since users can change the number of core threads for a scheduled thread pool executor
Dm: Can’t use reflection to check for presence of annotation without runtime retention (DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION),Correctness (CORRECTNESS),Yes,No for regex limitation,,,,,,,,,,,Y,Y,,,,Y,,,
NP: Method does not check for null argument (NP_ARGUMENT_MIGHT_BE_NULL),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,Y,,,Y,,,,,data flow,,,,
RV: Bad attempt to compute absolute value of signed random integer (RV_ABSOLUTE_VALUE_OF_RANDOM_INT),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,Y,,Y,,,data flow,Y,,,
RV: Bad attempt to compute absolute value of signed 32-bit hashcode (RV_ABSOLUTE_VALUE_OF_HASHCODE),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,Y,,Y,,,data flow,Y,,,
RV: Random value from 0 to 1 is coerced to the integer 0 (RV_01_TO_INT),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,Y,,Y,,,,Y,,,
Dm: Incorrect combination of Math.max and Math.min (DM_INVALID_MIN_MAX),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,Y,,,,,,Y,,Y,
Eq: equals method compares class names rather than class objects (EQ_COMPARING_CLASS_NAMES),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,,,,,
Eq: equals method always returns true (EQ_ALWAYS_TRUE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,data flow,,,,
Eq: equals method always returns false (EQ_ALWAYS_FALSE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,Y,,,data flow,,,,
Eq: equals method overrides equals in superclass and may not be symmetric (EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
Eq: Covariant equals() method defined for enum (EQ_DONT_DEFINE_EQUALS_FOR_ENUM),Correctness (CORRECTNESS),No,No for multi-line,,,,Y,,Y,,,,,,,,,,,,,
"Eq: Covariant equals() method defined, Object.equals(Object) inherited (EQ_SELF_USE_OBJECT)",Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
Eq: equals() method defined that doesn’t override Object.equals(Object) (EQ_OTHER_USE_OBJECT),Correctness (CORRECTNESS),No,No for multi-line,,,,,,Y,,,,,,,,,inheritance graph,,,,
Eq: equals() method defined that doesn’t override equals(Object) (EQ_OTHER_NO_OBJECT),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
HE: Signature declares use of unhashable class in hashed construct (HE_SIGNATURE_DECLARES_HASHING_OF_UNHASHABLE_CLASS),Correctness (CORRECTNESS),No,No for regex limitation,,,,,Y,Y,,,,,,,,,inheritance graph,,,,
HE: Use of class without a hashCode() method in a hashed data structure (HE_USE_OF_UNHASHABLE_CLASS),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
UR: Uninitialized read of field in constructor (UR_UNINIT_READ),Correctness (CORRECTNESS),No,No for multi-line,,,Y,,Y,Y,,,,,,,,,,,,,
UR: Uninitialized read of field method called from constructor of superclass (UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
Nm: Very confusing method names (NM_VERY_CONFUSING),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
Nm: Method doesn’t override method in superclass due to wrong package for parameter (NM_WRONG_PACKAGE),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
Nm: Apparent method/constructor confusion (NM_METHOD_CONSTRUCTOR_CONFUSION),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,Y,,,,,,,,,,Y,Y,,
Nm: Class defines hashcode(); should it be hashCode()? (NM_LCASE_HASHCODE),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,Y,,,,,,,,,Y,Y,,
Nm: Class defines tostring(); should it be toString()? (NM_LCASE_TOSTRING),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,Y,,,,,,,,,Y,Y,,
Nm: Class defines equal(Object); should it be equals(Object)? (NM_BAD_EQUAL),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,Y,,,,,,,,,Y,Y,,
Se: The readResolve method must not be declared as a static method. (SE_READ_RESOLVE_IS_STATIC),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,Y,,,,,,,,inheritance graph,Y,Y,,
Se: Method must be private in order for serialization to work (SE_METHOD_MUST_BE_PRIVATE),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,Y,,,,,,,,inheritance graph,Y,Y,,
SF: Dead store due to switch statement fall through (SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
SF: Dead store due to switch statement fall through to throw (SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH_TO_THROW),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
NP: Read of unwritten field (NP_UNWRITTEN_FIELD),Correctness (CORRECTNESS),No,No for regex limitation,,,,,Y,Y,,,,,,,,,data flow,,,,
UwF: Field only ever set to null (UWF_NULL_FIELD),Correctness (CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,,,data flow,,,,
UwF: Unwritten field (UWF_UNWRITTEN_FIELD),Correctness (CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
SIC: Deadly embrace of non-static inner class and thread local (SIC_THREADLOCAL_DEADLY_EMBRACE),Correctness (CORRECTNESS),No,No for regex limitation,,,,,Y,,,,,,,,,,inheritance graph,,,,
RANGE: Array index is out of bounds (RANGE_ARRAY_INDEX),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,Y,,,,,,Y,,,,,,,
RANGE: Array offset is out of bounds (RANGE_ARRAY_OFFSET),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,Y,,,,,,Y,,,,,,,
RANGE: Array length is out of bounds (RANGE_ARRAY_LENGTH),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,Y,,,,,,Y,,,,,,,
RANGE: String index is out of bounds (RANGE_STRING_INDEX),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,Y,,,,,,Y,,,,,,,
RV: Method ignores return value (RV_RETURN_VALUE_IGNORED),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
RV: Exception created and dropped rather than thrown (RV_EXCEPTION_NOT_THROWN),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,,,,,Y,,,
